junction_name,junction_recurrence_rate,max_avg_per_occurrence,junction_chronic_count
BTP103 - Shanti Nagar TTMC,0.18181818181818182,3.0,0
BTP104 - Medical College Circle,0.45454545454545453,7.0,0
BTP105 - Shivasankara Circle,0.13636363636363635,10.0,0
BTP106 - VV Puram College,0.13636363636363635,11.0,0
BTP107 - National College Junction,0.09090909090909091,12.0,0
BTP108 - Tagore Park Junction,0.6363636363636364,9.666666666666666,1
BTP109 - Dewan Madhava Rao Junction,0.22727272727272727,8.5,0
"BTP110 - Bharathi Nursing Home, Basavanagudi",0.045454545454545456,2.0,0
"BTP112 - 14th Cross, KR Road",0.045454545454545456,2.0,0
"BTP113 - 27th Cross, Pai Vista, KR Road",0.18181818181818182,4.0,0
"BTP114 - KR Road Junction, Near JSS",0.09090909090909091,25.0,0
"BTP115 - Sahasra Hospital, Jayanagar",0.3181818181818182,4.0,0
"BTP117 - 9th Cross, Kanakapura Road",0.5,9.5,0
BTP118 - Basappa Circle,0.3181818181818182,10.0,0
BTP119 - Minerva Circle,0.18181818181818182,8.0,0
BTP120 - Lalbagh Main Gate Junction,0.3181818181818182,18.0,0
BTP121 - KH Circle,0.13636363636363635,7.0,0
BTP122 - Siddapura Junction,0.13636363636363635,4.0,0
"BTP123 - 10th Cross, Wilson Garden",0.2727272727272727,13.0,0
BTP126 - Dairy Circle,0.2727272727272727,14.0,0
"BTP127 - Sagar Hospital, Jayanagar",0.09090909090909091,10.0,0
BTP128 - Gorappanapalya Junction,0.09090909090909091,4.0,0
BTP130 - GD Mara Junction,0.22727272727272727,24.0,0
BTP132 - Anepalya Junction,0.18181818181818182,6.0,0
BTP133 - Adugodi Junction,0.18181818181818182,6.0,0
BTP134 - Mico Bande,0.09090909090909091,3.0,0
BTP135 - UCO Bank Junction,0.36363636363636365,8.5,0
BTP136 - Hosur-Tavarkere Road Junction,0.4090909090909091,11.0,0
BTP137 - Madiwala Traffic PS Junction,0.18181818181818182,12.0,0
BTP138 - Sarjapur Road Check Post,0.09090909090909091,4.0,0
BTP140 - Madiwala Check Post,0.2727272727272727,13.0,0
BTP141 - Palmgroove Junction,0.13636363636363635,7.0,0
BTP142 - Lower Agram Road Junction,0.09090909090909091,4.0,0
BTP143 - ASC Junction,0.045454545454545456,8.0,0
BTP144 - Commando Hospital Junction,0.045454545454545456,2.0,0
"BTP145 - Sri Hatti Maramma Circle, Domluru",0.18181818181818182,7.0,0
BTP146 - Domlur Water Tank,0.13636363636363635,4.0,0
"BTP148 - 17th Main, Doopanahalli Bus Stop",0.3181818181818182,13.0,0
BTP154 - Itmadu Junction,0.045454545454545456,2.0,0
BTP155 - Katriguppe Junction,0.13636363636363635,20.0,0
BTP156 - Kamakya Junction,0.045454545454545456,3.0,0
BTP157 - Kadirenahalli Cross,0.09090909090909091,2.0,0
BTP158 - Devegowda Petrol Bunk,0.09090909090909091,7.0,0
"BTP159 - JP Nagar Metro, ORR",0.13636363636363635,7.0,0
"BTP161 - 15th Cross, 35th Main, JP Nagar",0.09090909090909091,4.0,0
"BTP163 - 16th Main Road, BTM Layout",0.3181818181818182,6.0,0
"BTP164 - 29th Main Road, BTM Layout",0.09090909090909091,5.0,0
BTP166 - Coffee Board Junction,0.18181818181818182,4.666666666666667,0
BTP167 - JC Road Junction,0.22727272727272727,14.0,0
"BTP168 - MSR Building, JC Road",0.13636363636363635,5.0,0
"BTP170 - Dr. Bheem Rao Palace, Chord Road",0.3181818181818182,8.5,0
BTP171 - Indian Express (Balekundri),0.13636363636363635,6.0,0
BTP172 - Nanjappa Circle,0.2727272727272727,18.0,0
BTP173 - TMC,0.2727272727272727,7.0,0
"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",0.18181818181818182,8.0,0
"BTP177 - Aurobindo Circle, ORR",0.3181818181818182,8.0,0
"BTP178 - 18th Main, Marenahalli",0.045454545454545456,2.0,0
"BTP179 - 9th Block, 28th Main, Jayanagar",0.09090909090909091,15.0,0
BTP180 - Swagath Poornima Theatre,0.22727272727272727,10.0,0
BTP181 - Bileka Halli Junction,0.045454545454545456,2.0,0
"BTP182 - 19th Main Junction, Rajajinagar",0.36363636363636365,10.5,0
BTP184 - Lalbagh West Gate,0.13636363636363635,24.0,0
BTP185 - RV Teachers College,0.09090909090909091,15.0,0
"BTP186 - 9th Cross, 4th Main, Jayanagar",0.18181818181818182,16.0,0
BTP187 - South End Circle,0.13636363636363635,6.0,0
"BTP188 - 27th Cross, 4th Main, Jayanagar",0.13636363636363635,21.0,0
"BTP189 - New Diagonal Road, Jayanagar",0.2727272727272727,29.5,0
"BTP190 - 36th Cross, 4th Main, Jayanagar",0.09090909090909091,32.0,0
"BTP191 - 40th Cross, 4th Main, Jayanagar",0.18181818181818182,5.0,0
BTP192 - Urvashi Theater,0.5454545454545454,5.0,0
BTP193 - Vasavi Circle,0.13636363636363635,6.0,0
BTP196 - Sarakki Main Road,0.09090909090909091,32.0,0
"BTP197 - 9th Cross, 24th Main, JP Nagar",0.22727272727272727,13.0,0
"BTP198 - 9th Cross, 8th Main, JP Nagar",0.045454545454545456,2.0,0
"BTP200 - 15th Cross, 33rd Main, JP Nagar",0.045454545454545456,4.0,0
"BTP202 - East End Main Road, Jayanagar",0.13636363636363635,16.0,0
BTP203 - RRMR Junction,0.18181818181818182,15.0,0
"BTP204 - ESI Hospital, Rajajinagar",0.2727272727272727,10.0,0
BTP205 - Modi Hospital Junction,0.5,8.0,0
"BTP206 - Shankara Mutt Circle, Vijayanagar",0.3181818181818182,20.0,0
BTP207 - 8th Main Road Basaveshwara Nagar,0.18181818181818182,8.0,0
BTP208 - Havanur Circle,0.3181818181818182,11.0,0
"BTP210 - 50th cross, 12th Main , Rajajinagar",0.36363636363636365,8.0,0
BTP211 - Central Street Junction,0.9545454545454546,20.0,8
BTP212 - Minto Junction,0.09090909090909091,8.0,0
BTP213 - Royan Circle,0.09090909090909091,3.0,0
BTP214 - 5th Main Chamrajpet  Junction,0.22727272727272727,7.0,0
BTP215 - Vanivillas Junction,0.3181818181818182,13.0,0
BTP216 - Yediyur Junction,0.4090909090909091,8.333333333333334,0
BTP217 - Baleyele Junction,0.13636363636363635,10.0,0
BTP218 - Syndicate Bank Junction,0.2727272727272727,15.0,0
BTP219 - Canara Bank Junction,0.4090909090909091,7.0,0
BTP220 - Puttanna Junction,0.36363636363636365,14.0,0
"BTP221 - 15th Cross, 24th Main, JP Nagar",0.22727272727272727,7.0,0
BTP222 - Delmia Circle,0.13636363636363635,8.0,0
BTP225 - Geetha Junction,0.2727272727272727,11.0,0
"BTP226 - 33rd Cross, 11th Main, Jayanagar",0.45454545454545453,11.0,0
