junction_name,total_violations,impact_score,betweenness_centrality,betweenness_normalised,pagerank,pagerank_normalised,degree_centrality,congestion_influence_score,rank_by_count,rank_by_impact,rank_by_cis,rank_change
BTP132 - Anepalya Junction,158,14.8,0.026189,19.1,0.003857,39.5,8.4,16.1,108,98,91,17
"BTP033 - Sophia High School, Sankey Road",208,26.7,0.0,0.0,0.005168,52.9,10.2,18.7,93,60,77,16
BTP071 - Prasanna Junction,721,43.2,0.017639,12.8,0.007587,77.7,15.0,34.1,43,30,27,16
BTP010 - Rajajinagar Entrance,957,43.8,0.031329,22.8,0.005608,57.4,13.8,37.5,36,28,22,14
BTP054 - Shivananda Circle,751,48.8,0.0,0.0,0.004543,46.5,11.4,34.1,41,22,27,14
BTP193 - Vasavi Circle,113,10.7,0.018,13.1,0.006657,68.2,20.4,11.4,122,117,109,13
BTP217 - Baleyele Junction,85,10.2,0.011273,8.2,0.00686,70.2,18.0,9.6,135,122,122,13
BTP018 - Dhobi Ghat Junction,382,28.9,0.019389,14.1,0.006168,63.2,16.2,24.4,64,55,52,12
"BTP163 - 16th Main Road, BTM Layout",364,32.5,0.004707,3.4,0.00432,44.2,7.2,23.8,68,48,56,12
BTP157 - Kadirenahalli Cross,16,5.0,0.011832,8.6,0.004471,45.8,8.4,6.1,160,153,148,12
BTP140 - Madiwala Check Post,368,26.4,0.024656,17.9,0.004601,47.1,6.6,23.8,67,62,56,11
BTP079 - Town Hall Junction,162,16.9,0.010208,7.4,0.009446,96.7,26.3,14.1,106,87,96,10
"BTP123 - 10th Cross, Wilson Garden",535,24.7,0.038579,28.1,0.004703,48.2,13.2,25.7,54,69,44,10
"BTP024 - NPS, Vijayanagar",632,35.2,0.017387,12.6,0.006973,71.4,16.2,28.5,47,38,38,9
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1208,52.9,0.008766,6.4,0.006701,68.6,12.6,39.0,25,18,17,8
BTP108 - Tagore Park Junction,1801,64.6,0.006691,4.9,0.005705,58.4,13.8,46.7,20,10,12,8
BTP109 - Dewan Madhava Rao Junction,309,27.4,0.005754,4.2,0.005501,56.3,13.2,20.4,76,58,69,7
BTP038 - Mysore Bank Junction,2021,63.7,0.01075,7.8,0.006234,63.8,21.6,46.9,18,11,11,7
BTP035 - Basaweshwara Circle (LH) Junction,36,9.4,7.2e-05,0.1,0.006549,67.1,15.6,6.6,152,130,146,6
BTP030 - Mekhri Circle,87,12.4,0.0,0.0,0.000897,9.2,0.0,8.7,133,108,127,6
BTP143 - ASC Junction,24,5.8,0.007214,5.2,0.003534,36.2,3.0,5.6,157,145,151,6
BTP036 - Police Thimmaiah Circle (GPO),83,10.5,0.002417,1.8,0.006219,63.7,16.2,7.9,136,119,132,4
"BTP127 - Sagar Hospital, Jayanagar",83,6.2,0.016395,11.9,0.00517,52.9,12.0,7.9,136,140,132,4
BTP128 - Gorappanapalya Junction,55,6.1,0.013058,9.5,0.005194,53.2,10.8,7.1,145,143,141,4
BTP103 - Shanti Nagar TTMC,144,14.6,0.005285,3.8,0.006834,70.0,19.8,11.4,113,100,109,4
BTP205 - Modi Hospital Junction,1045,46.5,0.000144,0.1,0.005904,60.5,11.4,32.6,33,24,29,4
BTP166 - Coffee Board Junction,121,14.8,0.000938,0.7,0.005771,59.1,13.8,10.6,119,98,116,3
BTP037 - KR Circle,239,19.6,0.017856,13.0,0.00726,74.3,23.4,17.6,89,82,86,3
"BTP080 - NR Road, SP Road Junction",3681,73.1,0.022473,16.3,0.007738,79.2,26.9,56.1,10,7,7,3
"BTP210 - 50th cross, 12th Main , Rajajinagar",455,34.1,0.001335,1.0,0.007952,81.4,15.6,24.2,57,45,54,3
BTP057 - Anand Rao Junction,3935,76.8,0.04161,30.3,0.0059,60.4,15.6,62.9,9,6,6,3
